video,label,frame,verdict,score
test/real_video/0.mp4,real,0,real,0.8897
test/real_video/0.mp4,real,21,spoof,0.6507
test/real_video/0.mp4,real,42,spoof,0.4986
test/real_video/0.mp4,real,64,spoof,0.654
test/real_video/0.mp4,real,85,spoof,0.7507
test/real_video/0.mp4,real,107,spoof,0.7384
test/real_video/0.mp4,real,128,real,0.9382
test/real_video/0.mp4,real,149,spoof,0.6029
test/real_video/0.mp4,real,171,real,0.8866
test/real_video/0.mp4,real,192,spoof,0.6437
test/real_video/0.mp4,real,214,real,0.9533
test/real_video/0.mp4,real,235,real,0.9576
test/real_video/0.mp4,real,257,real,0.8669
test/real_video/0.mp4,real,278,spoof,0.5392
test/real_video/0.mp4,real,299,spoof,0.7831
test/real_video/0.mp4,real,321,spoof,0.7218
test/real_video/0.mp4,real,342,spoof,0.7458
test/real_video/0.mp4,real,364,spoof,0.6633
test/real_video/0.mp4,real,385,spoof,0.7082
test/real_video/0.mp4,real,407,spoof,0.7002
test/real_video/1.mp4,real,0,real,0.9985
test/real_video/1.mp4,real,14,real,0.9994
test/real_video/1.mp4,real,29,real,0.9994
test/real_video/1.mp4,real,44,real,0.9992
test/real_video/1.mp4,real,58,real,0.9988
test/real_video/1.mp4,real,73,real,0.9994
test/real_video/1.mp4,real,88,real,0.9972
test/real_video/1.mp4,real,102,real,0.9937
test/real_video/1.mp4,real,117,real,0.9983
test/real_video/1.mp4,real,132,real,0.9998
test/real_video/1.mp4,real,146,real,0.9999
test/real_video/1.mp4,real,161,real,0.9999
test/real_video/1.mp4,real,176,real,0.9992
test/real_video/1.mp4,real,190,spoof,0.67
test/real_video/1.mp4,real,205,real,0.8956
test/real_video/1.mp4,real,220,real,0.9987
test/real_video/1.mp4,real,234,real,0.9998
test/real_video/1.mp4,real,249,real,0.9998
test/real_video/1.mp4,real,264,real,0.9998
test/real_video/1.mp4,real,279,real,0.9993
test/real_video/10.mp4,real,0,real,0.9998
test/real_video/10.mp4,real,23,real,1.0
test/real_video/10.mp4,real,47,real,0.9999
test/real_video/10.mp4,real,71,real,1.0
test/real_video/10.mp4,real,95,real,0.9971
test/real_video/10.mp4,real,118,real,0.9997
test/real_video/10.mp4,real,142,real,1.0
test/real_video/10.mp4,real,166,real,0.9999
test/real_video/10.mp4,real,190,real,1.0
test/real_video/10.mp4,real,214,real,0.9987
test/real_video/10.mp4,real,237,real,0.9995
test/real_video/10.mp4,real,261,real,0.9996
test/real_video/10.mp4,real,285,real,0.9993
test/real_video/10.mp4,real,309,real,0.9994
test/real_video/10.mp4,real,333,real,0.8805
test/real_video/10.mp4,real,356,real,0.8656
test/real_video/10.mp4,real,380,real,0.9984
test/real_video/10.mp4,real,404,real,0.9985
test/real_video/10.mp4,real,428,real,0.9992
test/real_video/10.mp4,real,452,real,0.9996
test/real_video/11.mp4,real,0,real,0.9997
test/real_video/11.mp4,real,14,real,0.9994
test/real_video/11.mp4,real,28,real,0.9998
test/real_video/11.mp4,real,42,real,1.0
test/real_video/11.mp4,real,57,real,0.9999
test/real_video/11.mp4,real,71,real,0.9998
test/real_video/11.mp4,real,85,real,0.9988
test/real_video/11.mp4,real,99,real,1.0
test/real_video/11.mp4,real,114,real,0.9999
test/real_video/11.mp4,real,128,real,1.0
test/real_video/11.mp4,real,142,real,0.9998
test/real_video/11.mp4,real,156,real,0.9996
test/real_video/11.mp4,real,171,real,0.9983
test/real_video/11.mp4,real,185,real,0.9977
test/real_video/11.mp4,real,199,real,0.9999
test/real_video/11.mp4,real,213,real,0.9996
test/real_video/11.mp4,real,228,real,1.0
test/real_video/11.mp4,real,242,real,0.9999
test/real_video/11.mp4,real,256,real,1.0
test/real_video/11.mp4,real,271,real,0.9998
test/real_video/12.mp4,real,0,spoof,0.3225
test/real_video/12.mp4,real,28,spoof,0.5516
test/real_video/12.mp4,real,57,spoof,0.8066
test/real_video/12.mp4,real,86,real,0.9512
test/real_video/12.mp4,real,114,spoof,0.1133
test/real_video/12.mp4,real,143,spoof,0.0987
test/real_video/12.mp4,real,172,spoof,0.2957
test/real_video/12.mp4,real,201,spoof,0.3087
test/real_video/12.mp4,real,229,spoof,0.6702
test/real_video/12.mp4,real,258,spoof,0.3367
test/real_video/12.mp4,real,287,spoof,0.0651
test/real_video/12.mp4,real,316,spoof,0.1525
test/real_video/12.mp4,real,344,spoof,0.7887
test/real_video/12.mp4,real,373,spoof,0.5682
test/real_video/12.mp4,real,402,spoof,0.5132
test/real_video/12.mp4,real,431,spoof,0.3643
test/real_video/12.mp4,real,459,spoof,0.5302
test/real_video/12.mp4,real,488,spoof,0.013
test/real_video/12.mp4,real,517,spoof,0.0615
test/real_video/12.mp4,real,546,spoof,0.049
test/real_video/13.mp4,real,0,real,0.9067
test/real_video/13.mp4,real,18,real,0.9768
test/real_video/13.mp4,real,36,real,0.9731
test/real_video/13.mp4,real,54,real,0.9914
test/real_video/13.mp4,real,72,real,0.9896
test/real_video/13.mp4,real,90,real,0.9522
test/real_video/13.mp4,real,108,spoof,0.7191
test/real_video/13.mp4,real,127,real,0.9512
test/real_video/13.mp4,real,145,spoof,0.793
test/real_video/13.mp4,real,163,real,0.9705
test/real_video/13.mp4,real,181,real,0.9749
test/real_video/13.mp4,real,199,spoof,0.8193
test/real_video/13.mp4,real,217,spoof,0.7728
test/real_video/13.mp4,real,236,real,0.886
test/real_video/13.mp4,real,254,real,0.9991
test/real_video/13.mp4,real,272,real,0.972
test/real_video/13.mp4,real,290,real,0.9114
test/real_video/13.mp4,real,308,real,0.9558
test/real_video/13.mp4,real,326,real,0.9545
test/real_video/13.mp4,real,345,spoof,0.6747
test/real_video/14.mp4,real,0,real,0.8711
test/real_video/14.mp4,real,16,real,0.945
test/real_video/14.mp4,real,33,spoof,0.7151
test/real_video/14.mp4,real,50,spoof,0.7804
test/real_video/14.mp4,real,67,real,0.9254
test/real_video/14.mp4,real,84,real,0.9021
test/real_video/14.mp4,real,101,spoof,0.3532
test/real_video/14.mp4,real,118,real,0.9808
test/real_video/14.mp4,real,135,real,0.9621
test/real_video/14.mp4,real,152,spoof,0.5704
test/real_video/14.mp4,real,168,spoof,0.5973
test/real_video/14.mp4,real,185,real,0.8728
test/real_video/14.mp4,real,202,spoof,0.6962
test/real_video/14.mp4,real,219,real,0.9446
test/real_video/14.mp4,real,236,spoof,0.6627
test/real_video/14.mp4,real,253,spoof,0.4956
test/real_video/14.mp4,real,270,spoof,0.831
test/real_video/14.mp4,real,287,spoof,0.5216
test/real_video/14.mp4,real,304,spoof,0.713
test/real_video/14.mp4,real,321,spoof,0.5733
test/real_video/15.mp4,real,0,real,0.951
test/real_video/15.mp4,real,22,real,0.9214
test/real_video/15.mp4,real,44,spoof,0.7589
test/real_video/15.mp4,real,66,real,0.9389
test/real_video/15.mp4,real,89,real,0.9416
test/real_video/15.mp4,real,111,real,0.9918
test/real_video/15.mp4,real,133,real,0.9915
test/real_video/15.mp4,real,156,real,0.9963
test/real_video/15.mp4,real,178,real,0.9976
test/real_video/15.mp4,real,200,real,0.9544
test/real_video/15.mp4,real,223,real,0.9946
test/real_video/15.mp4,real,245,real,0.8799
test/real_video/15.mp4,real,267,real,0.9054
test/real_video/15.mp4,real,290,real,0.951
test/real_video/15.mp4,real,312,real,0.9854
test/real_video/15.mp4,real,334,real,0.9506
test/real_video/15.mp4,real,357,real,0.983
test/real_video/15.mp4,real,379,real,0.9899
test/real_video/15.mp4,real,401,real,0.9863
test/real_video/15.mp4,real,424,real,0.9624
test/real_video/16.mp4,real,0,real,0.9995
test/real_video/16.mp4,real,9,real,0.9969
test/real_video/16.mp4,real,18,real,0.9974
test/real_video/16.mp4,real,28,real,0.9897
test/real_video/16.mp4,real,37,real,0.9935
test/real_video/16.mp4,real,47,real,0.9991
test/real_video/16.mp4,real,56,real,0.9958
test/real_video/16.mp4,real,65,real,0.9979
test/real_video/16.mp4,real,75,real,0.963
test/real_video/16.mp4,real,84,real,0.9909
test/real_video/16.mp4,real,94,real,0.9989
test/real_video/16.mp4,real,103,real,0.9767
test/real_video/16.mp4,real,113,real,0.86
test/real_video/16.mp4,real,122,real,0.9907
test/real_video/16.mp4,real,131,real,0.9956
test/real_video/16.mp4,real,141,real,0.9998
test/real_video/16.mp4,real,150,real,0.9997
test/real_video/16.mp4,real,160,real,0.9999
test/real_video/16.mp4,real,169,real,0.9993
test/real_video/16.mp4,real,179,real,0.9984
test/real_video/17.mp4,real,0,real,1.0
test/real_video/17.mp4,real,11,real,1.0
test/real_video/17.mp4,real,22,real,1.0
test/real_video/17.mp4,real,33,real,1.0
test/real_video/17.mp4,real,44,real,1.0
test/real_video/17.mp4,real,55,real,1.0
test/real_video/17.mp4,real,66,real,1.0
test/real_video/17.mp4,real,77,real,1.0
test/real_video/17.mp4,real,88,real,1.0
test/real_video/17.mp4,real,99,real,1.0
test/real_video/17.mp4,real,111,real,1.0
test/real_video/17.mp4,real,122,real,1.0
test/real_video/17.mp4,real,133,real,1.0
test/real_video/17.mp4,real,144,real,1.0
test/real_video/17.mp4,real,155,real,1.0
test/real_video/17.mp4,real,166,real,1.0
test/real_video/17.mp4,real,177,real,1.0
test/real_video/17.mp4,real,188,real,0.9999
test/real_video/17.mp4,real,199,real,1.0
test/real_video/17.mp4,real,211,real,1.0
test/real_video/18.mp4,real,0,real,0.9873
test/real_video/18.mp4,real,20,real,0.9915
test/real_video/18.mp4,real,41,real,0.9993
test/real_video/18.mp4,real,62,real,0.9997
test/real_video/18.mp4,real,83,real,0.9979
test/real_video/18.mp4,real,104,real,0.989
test/real_video/18.mp4,real,125,real,0.9886
test/real_video/18.mp4,real,146,real,0.9959
test/real_video/18.mp4,real,167,real,0.9937
test/real_video/18.mp4,real,188,real,0.9799
test/real_video/18.mp4,real,208,real,0.9999
