video,label,frames_sampled,frames_scored,mean_score,median_score,verdict_counts
test/real_video/0.mp4,real,20,20,0.7446,0.7301,"{""real"": 6, ""spoof"": 14}"
test/real_video/1.mp4,real,20,20,0.9773,0.9992,"{""real"": 19, ""spoof"": 1}"
test/real_video/10.mp4,real,20,20,0.9867,0.9996,"{""real"": 20}"
test/real_video/11.mp4,real,20,20,0.9996,0.9998,"{""real"": 20}"
test/real_video/12.mp4,real,20,20,0.378,0.3296,"{""spoof"": 19, ""real"": 1}"
test/real_video/13.mp4,real,20,20,0.9072,0.9534,"{""real"": 15, ""spoof"": 5}"
test/real_video/14.mp4,real,20,20,0.7457,0.7477,"{""real"": 8, ""spoof"": 12}"
test/real_video/15.mp4,real,20,20,0.9516,0.9584,"{""real"": 19, ""spoof"": 1}"
test/real_video/16.mp4,real,20,20,0.9871,0.9971,"{""real"": 20}"
test/real_video/17.mp4,real,20,20,1.0,1.0,"{""real"": 20}"
test/real_video/18.mp4,real,20,20,0.9754,0.9923,"{""real"": 19, ""spoof"": 1}"
test/real_video/19.mp4,real,20,20,0.981,0.9969,"{""real"": 20}"
test/real_video/2.mp4,real,20,20,0.9722,0.9801,"{""real"": 20}"
test/real_video/20.mp4,real,20,20,0.9999,1.0,"{""real"": 20}"
test/real_video/21.mp4,real,20,20,0.9662,0.9854,"{""real"": 19, ""spoof"": 1}"
test/real_video/22.mp4,real,20,20,0.9994,0.9998,"{""real"": 20}"
test/real_video/23.mp4,real,20,20,0.9997,1.0,"{""real"": 20}"
test/real_video/24.mp4,real,20,20,0.6497,0.6153,"{""spoof"": 13, ""real"": 7}"
test/real_video/25.mp4,real,20,20,0.9609,0.9996,"{""real"": 18, ""spoof"": 2}"
test/real_video/26.mp4,real,20,20,0.9963,0.9996,"{""real"": 20}"
test/real_video/27.mp4,real,20,20,0.9996,0.9998,"{""real"": 20}"
test/real_video/28.mp4,real,20,20,0.9589,0.9916,"{""real"": 18, ""spoof"": 2}"
test/real_video/29.mp4,real,20,20,0.9996,0.9999,"{""real"": 20}"
test/real_video/3.mp4,real,20,20,0.9991,0.9997,"{""real"": 20}"
test/real_video/30.mp4,real,20,20,0.9776,0.9968,"{""real"": 19, ""spoof"": 1}"
test/real_video/31.mp4,real,20,20,0.9792,0.9971,"{""real"": 19, ""spoof"": 1}"
